,qid,product
0,0,邮箱
1,1,VPN
2,2,打印
3,3,复印
4,4,电话
5,5,电话
6,6,OA
7,7,OA
8,8,OA
9,9,wifi
10,10,wifi
11,11,电脑
12,12,电脑
13,13,公司布局图
14,14,办公用品
15,15,会议室
16,16,名片
17,17,停车位
18,18,开通
19,19,开票
20,20,发票
21,21,差旅
22,22,病假
23,23,婚假
24,24,假
25,25,丧假
26,26,年假
27,27,考勤
28,28,考勤
29,29,考勤
30,30,加班
31,31,病假
32,32,转正
33,33,调动
34,34,离职
35,35,离职
36,36,证明
37,37,公积金
38,38,社保
39,39,公积金
40,40,社保
41,41,基数
42,42,社保
43,43,社保
44,44,居住证
45,45,居住证
46,46,工资
47,47,补贴
48,48,调薪
49,49,扣款
50,50,扣款
51,51,工资明细
52,52,专项
53,53,体检
54,54,体检
55,55,个人档案
56,56,党组织关系
